       [Log] 11:57, INFO, reading: samsara2.extension.dataextractor.DETimeDendroHabitats%defaultDataRenderer capsis.extension.datarenderer.drgraph.DRStackedAreaGraph
       [Log] 11:57, INFO, reading: eucalypt.extension.intervener.EptusSimpleThinner%subType SelectiveThinner
       [Log] 11:57, INFO, reading: ventoux.extension.objectviewer.OVVentouxPieChart enabled
       [Log] 11:57, INFO, reading: mustard.extension.dataextractor.DEManagementUnitStatusClassN%defaultDataRenderer capsis.extension.datarenderer.drcurves.DRHistogram
       [Log] 11:57, INFO, reading: capsis.extension.dataextractor.DETimeSecBrDg enabled
       [Log] 11:57, INFO, reading: cytisus.extension.dataextractor.DETimeGrassCover enabled
       [Log] 11:57, INFO, reading: capsis.extension.filter.general.FQualitativeProperty enabled
       [Log] 11:57, INFO, reading: capsis.extension.dataextractor.DEDbhLeafSurface enabled
       [Log] 11:57, INFO, reading: nz1.extension.ioformat.NZ1Inventory enabled
       [Log] 11:57, INFO, reading: capsis.extension.dataextractor.DETimeBARKB enabled
       [Log] 11:57, INFO, reading: croireplant.extension.dataextractor.CPlantGrowthTimeIncr enabled
       [Log] 11:57, INFO, reading: croireplant.extension.intervener.CPlantThinner enabled
       [Log] 11:57, INFO, reading: fompine.extension.intervener.FomThinner enabled
       [Log] 11:57, INFO, reading: isgm.extension.dataextractor.DEIsgmAgeTotalBasalArea enabled
       [Log] 11:57, INFO, reading: allostand3d.extension.intervener.AlloOverlapSpatializer enabled
       [Log] 11:57, INFO, reading: pinuspinaster.extension.ioformat.PPStandCarbonWithVolumeExport enabled
       [Log] 11:57, INFO, reading: pnn2.extension.ioformat.Pnn2TreeExport enabled
       [Log] 11:57, INFO, reading: heterofor.extension.dataextractor.HetTimeFoliageState%defaultDataRenderer capsis.extension.datarenderer.drgraph.DRGraph
       [Log] 11:57, INFO, reading: regelight.extension.intervener.RegCrownsGenerator enabled
       [Log] 11:57, INFO, reading: mountain.extension.ioformat.MountASCIIFileforSVSExport enabled
       [Log] 11:57, INFO, reading: dynet.extension.dataextractor.FishGrowthRate enabled
       [Log] 11:57, INFO, reading: heterofor.extension.dataextractor.HetTimeFoliageState enabled
       [Log] 11:57, INFO, reading: capsis.extension.dataextractor.DETimeTotalAccumulationQuantityNendo enabled
       [Log] 11:57, INFO, reading: migration.extension.ioformat.MigInventory enabled
       [Log] 11:57, INFO, reading: pp3.extension.dataextractor.DETotalNeedleBiomassDistrib%defaultDataRenderer capsis.extension.datarenderer.drcurves.DRHistogram
       [Log] 11:57, INFO, reading: jeeb.lib.sketch.extension.sketcher.BoundingBoxSketcher enabled
       [Log] 11:57, INFO, reading: regelight.extension.intervener.RegCrownsReduction enabled
       [Log] 11:57, INFO, reading: pp3.extension.dataextractor.DETimeStandCompartmentDeadWood enabled
       [Log] 11:57, INFO, reading: lerfob.fagacees.extension.ioformat.FgStandTableExport enabled
       [Log] 11:57, INFO, reading: pinuspinaster.extension.dataextractor.DEFomPineStandTable enabled
       [Log] 11:57, INFO, reading: mediterranea.extension.dataextractor.ReachMeanWinterTempN enabled
       [Log] 11:57, INFO, reading: heterofor.extension.ioformat.HetNutrientImmobilisation enabled
       [Log] 11:57, INFO, reading: capsis.extension.dataextractor.MuTimeDdom enabled
       [Log] 11:57, INFO, reading: capsis.extension.treelogger.geolog.GeoLog enabled
       [Log] 11:57, INFO, reading: heterofor.extension.dataextractor.HetTimeWBRelativeExtractableWater enabled
       [Log] 11:57, INFO, reading: forceps.extension.ioformat.CepsGrowingIncrement enabled
       [Log] 11:57, INFO, reading: runaway.extension.dataextractor.MeanFitnessTime enabled
       [Log] 11:57, INFO, reading: capsis.extension.dataextractor.DEStandTable$1 enabled
       [Log] 11:57, INFO, reading: regelight.extension.intervener.RegCrownsGenerator%subType MiscellaneousIntervener
       [Log] 11:57, INFO, reading: capsis.extension.dataextractor.DEDdom01Nha01 enabled
       [Log] 11:57, INFO, reading: simcap.extension.intervener.SimcapThinner enabled
       [Log] 11:57, INFO, reading: heterofor.extension.ioformat.HetWaterBalanceHourlyExport enabled
       [Log] 11:57, INFO, reading: pinuspinaster.extension.dataextractor.DEThinStandCompartmentDeadWood enabled
       [Log] 11:57, INFO, reading: isgm.extension.ioformat.IsgmStandTableExport enabled
       [Log] 11:57, INFO, reading: heterofor.extension.ioformat.HetNutrientCyclingExport enabled
       [Log] 11:57, INFO, reading: samsara2.pgms.inventory_creator.RegenerationManager disabled
       [Log] 11:57, INFO, reading: lerfob.fagacees.extension.dataextractor.DETimeStandPotassium enabled
       [Log] 11:57, INFO, reading: samsara2.extension.dataextractor.Samsa2SaplingHClassN%defaultDataRenderer capsis.extension.datarenderer.drgraph.DRBarGraph
       [Log] 11:57, INFO, reading: samsara2.extension.dataextractor.DETimeDbhCumulativePerSpecies enabled
       [Log] 11:57, INFO, reading: uqar.jackpine.extension.ioformat.JpInventory enabled
       [Log] 11:57, INFO, reading: karite.extension.ioformat.KariteInventory enabled
       [Log] 11:57, INFO, reading: capsis.extension.standviewer.SVQuergus enabled
       [Log] 11:57, INFO, reading: eucalypt.extension.intervener.EptusThinner%subType SelectiveThinner
       [Log] 11:57, INFO, reading: quergus.extension.dataextractor.DEQuergusFutureRegeTable enabled
       [Log] 11:57, INFO, reading: samsara2.extension.dataextractor.DETimeDbhCumulativePerSpecies%defaultDataRenderer capsis.extension.datarenderer.drgraph.DRBarGraph
       [Log] 11:57, INFO, reading: jeeb.lib.sketch.extension.objectviewer.InspectorViewer enabled
       [Log] 11:57, INFO, reading: capsis.extension.dataextractor.DETimeSecBrDg_x_Nha enabled
       [Log] 11:57, INFO, reading: dynet.extension.dataextractor.FishPairwiseFST enabled
       [Log] 11:57, INFO, reading: mpb.extension.ioformat.MpbExport enabled
       [Log] 11:57, INFO, reading: capsis.lib.economics2.gui.DETimeForestValue enabled
       [Log] 11:57, INFO, reading: quergus.extension.dataextractor.DELightOnCellAndSensor%defaultDataRenderer capsis.extension.datarenderer.DRTables
       [Log] 11:57, INFO, reading: allostand3d.extension.intervener.AlloThinner enabled
       [Log] 11:57, INFO, reading: capsis.lib.fire.exporter.wfds.WFDS enabled
       [Log] 11:57, INFO, reading: training.model.TraInventoryLoader enabled
       [Log] 11:57, INFO, reading: capsis.extension.dataextractor.DETimeTotalV enabled
       [Log] 11:57, INFO, reading: pp3.extension.ioformat.Pp3StandCarbonWithBiomassExport enabled
       [Log] 11:57, INFO, reading: guppy.extension.dataextractor.FishPrefClassN enabled
       [Log] 11:57, INFO, reading: capsis.extension.dataextractor.MuTimeHdom enabled
